source,target,frequency
{'andrea hayes'},{'Ghost'},1
{'Se orita Roc o '},{'Teri Carson '},1
{'Resistor Happy Again'},"{'Sharon Stammers', 'Julie JusticeForJohnnyDepp '}",2
{'Natalie'},{'Teri Carson '},1
{'I m Not Betty'},{'Ufofaunamania Bolivia'},1
{'Mr Bat man '},"{'Belinda ', 'Princess Consuela Bananahammock'}",2
{'Kerrie Barton'},{'B Red'},1
{'Duchess Peony of the Kingdom of Megxit'},{'Mrs John Christopher Depp II'},1
{'Hayley Richardson'},"{'Sandra Deanne', ' ', 'Juliana', 'ReemDepp Johnny Depp Deserves Justice', 'Mrs John Christopher Depp II', 'donotfallintothetrap'}",6
{'Judianna'},"{'Sandra Deanne', ' ', ' rhiane '}",3
{'Stephen K PolicyNotPersonality'},{'Mrs John Christopher Depp II'},1
{'Leelou68'},"{'Sandra Deanne', 'good will'}",2
{'Kim Miller'},{'Sandra Deanne'},1
{'hil'},{'Sandra Deanne'},1
{' victoriamary'},{'Sandra Deanne'},1
{'Sarah Louise'},"{'Sandra Deanne', 'JusticeForJohnny'}",2
{'Luiza'},"{'Sandra Deanne', 'Wendle Robo', 'inchhighpi', 'chihiro ', 'Bazarette74', 'JusticeForJohnny'}",6
{'jason the burfday pal'},{' '},1
{' VMINKOOK HOE '},"{'Sandra Deanne', 'seedoftruth '}",2
{'Tracey Brooks'},"{'Sandra Deanne', ' Daisy ', 'Milo234'}",3
{'Amna'},"{'Wonka', 'chihiro ', 'Libby JusticeForJohnnyDepp', 'NinaRoxx8825'}",4
{'Ty Yad Ofdis'},{'JusticeForJohnny'},1
{'Louise Tripoli '},{'J G Depp '},1
{'April Dalaman '},{'inchhighpi'},1
{'Peter Malcolm'},{'Teri Carson '},1
{'Lisa Wald Mignon'},{'Le Kit ses geekeries '},1
{'karlee is fed up'},{'inchhighpi'},1
{'Jill Rae'},{'inchhighpi'},1
{'Madi'},{'Teri Carson '},1
{'J Krumbles Creative Wizard '},"{'Andrea Oldfield', 'Angelique Angello', 'Patcar'}",3
{'Caittie Cat Loki Harley fangirl '},{'Teri Carson '},1
{'ShanK '},"{'Teri Carson ', 'Ghost'}",2
{'Jeremy Flores'},{'Teri Carson '},1
{'Vibeke Samuelsen'},{'Teri Carson '},1
{'Nick Sharafinski'},{'Teri Carson '},1
{'MB'},{'Teri Carson '},1
{'NoBoxesForMe '},{'Teri Carson '},1
{'Jennifer Nelson'},{'Teri Carson '},1
{'The Better Chrissy'},{'Teri Carson '},1
{'Shelly'},{'Teri Carson '},1
{'YoNoHe Sido'},{'Teri Carson '},1
{'Zac Elawar'},{'Teri Carson '},1
{'Laura Z '},{'Teri Carson '},1
{'Rae Knight '},"{'Belinda ', 'Andriana Pavlidou ', 'donotfallintothetrap'}",3
{'Duncan Henny'},{'Teri Carson '},1
{'Sabrina Bucci'},{'Teri Carson '},1
{'Rhia Rara McGaga'},{'Teri Carson '},1
{'e phemera'},{'Teri Carson '},1
{'Rod O Net'},{'Teri Carson '},1
{'MsG'},{'Teri Carson '},1
{'Real Pamster'},{'Teri Carson '},1
{'Gonja'},{'Teri Carson '},1
{'Clyde Flexler '},{'Teri Carson '},1
{'Ellen Speybrouck'},{'Big Al '},1
{'Hev '},{'Belinda '},1
{'Mirian Aguirre'},{'Belinda '},1
{'Pippa Cordelia Vanlandingham'},{'Teri Carson '},1
{'Toni Harwood'},{'WestCoastMeshFighter WCMF'},1
{'Giggzy Boo Goonerette '},{'Teri Carson '},1
{'pyschonaut'},{'Teri Carson '},1
{'Mary Ficarra'},{'Teri Carson '},1
{'Deb Anderson '},{'Teri Carson '},1
{'Amanda'},{'Teri Carson '},1
{'Sammy'},{'Speak Of The Mignon '},1
{'THINA OG KPOP STAN '},{'p60p45'},1
{'Mimsicle '},{'Teri Carson '},1
{' Angel Teale'},{'Johnny is our Grindelwald'},1
{'Rhiannon Elizabeth Irons'},{'lenni Wald Mignon'},1
{' '},{' '},1
{'Raquel Dobson'},{'NinaRoxx8825'},1
{'Katie IBelieveHim'},"{'Em ', 'Monadorni Jim nez', 'miaa', 'Bazarette74', 'Jacko JusticeForJohnnyDepp', 'Libby JusticeForJohnnyDepp', 'Elisa Day', 'Neruda Winters '}",8
{'Atticus'},{'Sandra Deanne'},1
{'Whinier the Fox'},{'Sandra Deanne'},1
{' Lorenz Carst '},{'Sandra Deanne'},1
{'Christi'},{'Sandra Deanne'},1
{'Claire '},{'Sandra Deanne'},1
{'Extremediva'},{'Sandra Deanne'},1
{'JAKE ELLENBOGEN'},{'Sandra Deanne'},1
{'Darcy '},{'Sandra Deanne'},1
{'laura '},{'Sandra Deanne'},1
{'Lisa Quinlan'},{'Sandra Deanne'},1
{'julie aziz'},{' Om Dr mm '},1
{'Christian Dahinden'},{'Sandra Deanne'},1
{'L T'},{' Om Dr mm '},1
{' '},{'Sandra Deanne'},1
{'mike BLM'},{'Princess Consuela Bananahammock'},1
{'The Gay Swami'},{'Guilherme Leirosa'},1
{' '},{'Teri Carson '},1
{'Gea Taylor s Version '},{'inchhighpi'},1
{'Francisco Ortega'},{'Mione48'},1
{'Mr J is Felix Leiter in disguise'},{'Rebecca Mew JusticeForJohnnyDepp Justice4JenHowell'},1
{'TrueBliu Nineleven'},{' Laura'},1
{'Paris Kara '},{'Andrea Oldfield'},1
{'Noir Grey '},{'Paul Brian'},1
{' Sarah Jones Roberts '},{'Sarah'},1
{'Michelle T'},"{'Sweetest Sands ustice or ohnny epp ', 'Kountry Waldmignon ', 'Linda Lou ', 'Robin Wald Mignon I support THE TRUTH ', 'Marvel Fury', 'Berenice'}",6
{'DavKat43'},{'Ewinters Wald Mignon'},1
{'Steph Tiller '},{'Teri Carson '},1
{'Karen Moreno'},"{' MSW ', 'Libby JusticeForJohnnyDepp'}",2
{'glitterfist'},{'Libby JusticeForJohnnyDepp'},1
{'Deputy Minister of Meta Flashdance'},"{'Horae of Peace', 'good will', 'Hellennehellenne '}",3
{'Cynomen'},"{'DeppFanPage ', 'FlowerBOT'}",2
{'samantha guy'},{'Vaielena'},1
{'K REN '},"{'', 'Vaielena'}",2
{'dreaming of you'},{'Teri Carson '},1
{'Beth'},{'Lucas'},1
{'Julia '},{'Teri Carson '},1
{'Sandra'},{'sheila'},1
{'Juanito Say'},{'Mrs John Christopher Depp II'},1
{'Vacuum Boots'},{'Teri Carson '},1
{'Linda'},{'Teri Carson '},1
{'Casey Taylor Beep Bop Boop'},{'Belinda '},1
{'The Hypno Witch'},"{'Pam Love ', 'Caitlin', 'MegJ'}",3
{'Steph Justice for JD'},{'jessicalockhart'},1
{'Paul B eski '},{'Sam Cooke '},1
{'Anjalee Patel'},"{'', 'inchhighpi', 'Andrea Oldfield', 'Angelique Angello', 'Ghost', 'Berenice', 'donotfallintothetrap'}",7
{'Krystal'},{'MenCourage Philippines'},1
{' Free Palestine Land Back '},{'Teri Carson '},1
{'giorgia'},{'Teri Carson '},1
{'Annina s style'},{'Teri Carson '},1
{'Melinda Smith'},{'Teri Carson '},1
{'Allyson'},{'inchhighpi'},1
{'Stephanie '},{'inchhighpi'},1
{' i MakeTASM3'},{'SimonBarreBrisebois'},1
{' Mike Teufel '},"{'Sally Star', 'Mar a Laura Cristina'}",2
{'Scott Churchson'},{'Petlover218'},1
{'Brianna Morrissey'},{'Teri Carson '},1
{' Annalogue75 allegedly '},{'Paula '},1
{'Miss Mercury'},{'Batmanultra7'},1
{'Fatima Alegra'},{'Teri Carson '},1
{'Melanie Head'},{'Teri Carson '},1
{'Greg VotingRightsNow '},"{'Rae Knight ', 'Cheryl Drake '}",2
{'nar'},{'inchhighpi'},1
{'Kayla Vetter'},{'joby'},1
{'anni'},{'Eloisa'},1
{' Yany '},{'Sam Cooke '},1
{'OXOX'},"{'LL', 'amb', 'Liono Grinch'}",3
{'LadyDelishOz'},{'Ghost'},1
{'Jojo Beaver'},{'Marvel Fury'},1
{'Joe '},{'Marvel Fury'},1
{'Jessssaa '},"{'Katya', 'ProfessorDepp '}",2
{'FlaviaDepphead '},{'Aishacat '},1
{'paulina '},{'Teri Carson '},1
{'Lee '},{'Ra l S JusticeForJohnnyDepp'},1
{'Jared Wilbur'},{'Ghost'},1
{'Geegee'},{'Scarlet Waldman'},1
{'FlamenRed'},{'Libby JusticeForJohnnyDepp'},1
{'aditya arie'},{'Juliana'},1
{'Jenne10'},{'Samwinchester50'},1
{'RustyRages No longer sad see ya next year scUM'},"{'Donald Covid Trump', 'Belinda ', 'danijela', 'NinaRoxx8825', 'Mrs John Christopher Depp II', 'Cassie Roehr', ' ', 'Becky', 'chihiro ', 'Luna', 'Draku Seele', 'Misu Mignonne ', 'V ', 'Elisa Day', 'ayca gurelman', 'blackrainbowsxo', 'Nympha ', 'Kilpikonnanyst v '}",18
{'Karla '},"{'Cassie Roehr', 'su', 'Princess Consuela Bananahammock'}",3
{' Rebzie '},"{'Samwinchester50', 'JD America', 'Katherine', 'Cassie Roehr', 'Barbara ', 'Underblank ', 'Johnny s Pirate Fairy ', 'True Krdnchki', 'Ewinters Wald Mignon', 'bling pipe ', 'Stephanie Brown'}",11
{'Year of the Jalapeno'},{'Cat '},1
{'Mamachell'},"{'Belinda ', ' is off ', 'Lilith Rising', 'Cindy Evans', 'Verizure', 'Ghost', 'RideOrDis'}",7
{'Leslie Audrey'},{'Rebecca'},1
{'bad websites'},"{'Robin Wald Mignon I support THE TRUTH ', 'Marvel Fury'}",2
{'Tom Townend'},"{'Sandra Deanne', 'danijela', ' ', 'Robin Wald Mignon I support THE TRUTH ', 'Kelly Smahlt', 'Bazarette74', 'Mrs John Christopher Depp II'}",7
{'Deonnie'},"{' is off ', 'Ghost'}",2
{'Jess Emerson'},{'Sue Bongiovi'},1
{'Maria Graham'},{'J P Henz'},1
{'Zeo'},{'Ghost'},1
{'Dee'},{'Sxsanoo'},1
{'Andres'},{'Terisa '},1
{' LizzieDimitrescu'},{'Ulrica C'},1
{'kimmitx MAGA USA Americafirst Resist '},"{'Paula ', 'Aurora FFP2'}",2
{'Johnny Bagels VP '},{' ej '},1
{'MelBrown RIP MOM6 28 21 SoarHigh GH Actors'},{'Libby JusticeForJohnnyDepp'},1
{' Alicia Jewell '},"{'ForDaMik JohnnyDeppIsInnocent Justice', 'Barbara Howard', ' Justice for Johnny Depp ', 'Andrea Oldfield', 'Rae', 'Lucy ', 'Spirit of Dani ', 'Lassie King', 'Nor33 ', 'Ra l S JusticeForJohnnyDepp', 'Paula ', 'Cece', 'Luna ', 'sheila', 'Libby JusticeForJohnnyDepp', 'Robin Wald Mignon I support THE TRUTH ', 'NinaRoxx8825', 'Belinda ', 'Sweetest Sands ustice or ohnny epp ', 'KimmhyDepp ', 'Dr Jayne B Waldmingon PHD ', 'Linda Lou ', 'Ewinters Wald Mignon', 'Arghavan', 'Armita', 'Telma', 'TanHar', ' ', ' rem Ya mur JDForever', 'Teri Carson ', 'Vaielena', 'Andrea Deledda'}",32
{'luci swanson'},"{'Kris ', 'Rebecca Mew JusticeForJohnnyDepp Justice4JenHowell'}",2
{'ANGEL'},"{' ', 'Teri Carson ', 'Kountry Waldmignon ', 'Moira Wetherell'}",4
{'lyn'},{'Teri Carson '},1
{'Camille '},{' '},1
{'Wendy Campbell '},{'Teri Carson '},1
{'harlequinade '},{' Annalee Perez '},1
{'Andrea '},{'Vaielena'},1
{'Grogu Baggins'},{'Teri Carson '},1
{'Misael David '},{'Teri Carson '},1
{'Lisa Bee'},{'Teri Carson '},1
{'candiee pritchard'},{'Sarah'},1
{'Amanda Caputo '},"{'ForDaMik JohnnyDeppIsInnocent Justice', 'res ipsa loquitur savvy ', 'su'}",3
{'Jo Be the change you wish to see in the world '},{'Teri Carson '},1
{'Heather Hear'},"{'Teri Carson ', 'JusticeForJohnny'}",2
{'laura'},"{'Lilia Machado', 'Carolina Depphead ', 'Juliana', 'Ewinters Wald Mignon', 'Robin Wald Mignon I support THE TRUTH '}",5
{'brittney of oldstones'},{' is off '},1
{'queer queen'},{'Teri Carson '},1
{' '},{'Teri Carson '},1
{'JazminKay'},{' '},1
{'Depp Lovers '},{'Teri Carson '},1
{'Joshua Ryan'},{'Juliana'},1
{'Gabrielle Ferguson'},"{'TealiciousSnark', 'Sally Star', ' V d JusticeForJohnnyDepp ', 'Andrea Oldfield'}",4
{'Reckless'},"{'Sharis ', ' Gracie JusticeForJohnnyDepp ', 'Papaya', 'Tanya Wald Mignon JusticeForJohnnyDepp', 'if'}",5
{' H lya '},"{'brittney of oldstones', 'danijela', 'seedoftruth ', ' ', 'miaa', 'Cherry B ', 'Donut Wald Mignon', 'Genna4justice ', 'tralala'}",9
{'SophiaQ'},{'blahbydodaday'},1
{'tiki pie'},{'Sam Cooke '},1
{' '},"{'Victoria Breakwell Wald Mignon ', '', 'Crista Lea', 'mary', 'Paula ', ' ', 'Anna', 'Vaielena', 'NinaRoxx8825'}",9
{'Julie Williams'},"{'Paula ', ' '}",2
{'Capt Craig N '},{'Ewinters Wald Mignon'},1
{'Rossari Maria'},{'Teri Carson '},1
{'Cornelia Bach'},{'Teri Carson '},1
{'Andy Signore'},{'Teri Carson '},1
{'Britt Horror Movies Is Our Childrens Future '},"{' Om Dr mm ', 'pirate justiceforjohnnydepp', 'Daeny RL Read ', 'Kimmi Wald Mignons '}",4
{'Alvaro Olyntho'},{'Lakota Di'},1
{'Sanisa'},{'Anna Maria Hell All Up In Hollywood '},1
{'Halloqueen '},{'Mrs John Christopher Depp II'},1
{'Raven JusticeForJohnnyDepp'},{'Libby JusticeForJohnnyDepp'},1
{'Just A Tad BROKEN'},{'James Shala'},1
{' '},{'Teri Carson '},1
{'D Daniels'},{'S'},1
{'tracy sette'},{'Renan Christian'},1
{'Estelle'},"{'Jeni Wald Mignon ', 'Andriana Pavlidou ', 'Nova Wald Mignon', ' is off ', 'Christine Mignon ', 'Muggle born ', 'Wonka', 'Horae of Peace', 'JusticeForJohnny', 'Princess Consuela Bananahammock', 'Pam Love ', 'Tired of idiots tbh'}",12
{'DorkAngel GBW'},"{'Heleboll ', 'Speak Of The Mignon ', 'Tilda B '}",3
{'Terrell Sanzone RESISTER Bully Hater NY Born'},{'Teri Carson '},1
{'jose amurica'},"{'Lucy ', 'Teri Carson '}",2
{'Kris'},{'Sally Star'},1
{'Coach Zen'},{'Sally Star'},1
{'Fikri Hasim'},{'Murmeltier '},1
{'Micka ayla Johnson'},{'Murmeltier '},1
{'NotPony'},{'Teri Carson '},1
{' '},{'Geppetto LivinG VirtualID is BORN not MADE'},1
{'Mystique Rose Depp'},{'Teri Carson '},1
{'subtweetive streak'},{'TheMadRatter Gwennafran '},1
{'Spirit of Dani '},{'Oups Sleepwater'},1
{'sarah barnes'},{''},1
{'C R G Brill she her '},{'No WomenAreTrash'},1
{'Rose Shanks'},{'Teri Carson '},1
{'Sharon a '},{'Teri Carson '},1
{'CaliGirl'},{'Dawn'},1
{'Julyy S'},{'Teri Carson '},1
{'Fucking Supreme '},{'Fe Nunes'},1
{'Aubiegail'},"{'Mrs John Christopher Depp II', 'EleanaBelle'}",2
{' i '},{'Mrs John Christopher Depp II'},1
{'Connie'},{'Teri Carson '},1
{'Rori KangKook '},"{'Guilherme Leirosa', 'pb def '}",2
{'H seyin D nmez'},{'Teri Carson '},1
{' Rise Sister Rise Speak Up'},{'Mellie '},1
{'Meepsia Magpie'},{'epiphany'},1
{' '},{'A Relative '},1
{'Darianna'},{'Teri Carson '},1
{'Faith'},{'res ipsa loquitur savvy '},1
{'Sweetest Sands ustice or ohnny epp '},{'inchhighpi'},1
{'Mike Partyka'},{'Libby JusticeForJohnnyDepp'},1
{'K'},{'inchhighpi'},1
{'cherie '},{' is off '},1
{'Ali Adamjee'},{'JusticeForJohnny'},1
{'Brian Saeger'},"{'Sally Star', 'Aishacat '}",2
{'Colonel Kurtz'},"{'res ipsa loquitur savvy ', 'Marvel Fury'}",2
{' '},"{'Cayergan ', 'Clara '}",2
{'Susantreehugger1605'},{'best of amber heard'},1
{'fat booty c line dion'},{'Samwinchester50'},1
{'Brooklyn Girl Tam'},{'Stephanie Brown'},1
{'Jon D Allred'},{'Underblank '},1
{' hl '},"{'Kimara', 'Rwish', 'ByeByeSuccubus'}",3
{'Lolly'},"{'Linda Lou ', 'Ewinters Wald Mignon'}",2
{'Theresa Kenyon'},"{'Tilda B ', 'JohnnyDeppDeservesBetter', 'Mea parvitas KeepJohnnyDeppAfloat', 'Libby JusticeForJohnnyDepp'}",4
{'BheemBoy Eat Millets Stay Healthy'},{' is off '},1
{' Luh '},{'Lucy '},1
{'jennifer luguis'},{'Del a '},1
{' The Good Bad Guy Darren Rivera'},{'Teri Carson '},1
{'Murfie88 '},{'Teri Carson '},1
{'nrzt'},{'honey volk'},1
{'Belinda '},{'Teri Carson '},1
{'Jennifer'},{' '},1
{'Lisa '},{'Ghost'},1
{'Allan Ver ssimo'},{'Ghost'},1
{'kori'},"{'res ipsa loquitur savvy ', 'Sharon'}",2
{'Rwish'},{'Kountry Waldmignon '},1
{'Yvonne de Boer'},"{'Valeria ', 'Vaielena'}",2
{' '},"{'Mell H D', 'Libby JusticeForJohnnyDepp'}",2
{'s '},{'Nor33 '},1
{'JUSTICE SEEKER'},"{'LL', 'R'}",2
{'Kelly Annie '},{'Horae of Peace'},1
{'NateDizzle312'},{'Dennis Villesnooze'},1
{'Regina'},{'Teri Carson '},1
{'Jacina'},{'inchhighpi'},1
{' '},{'JD s Supporters Survey '},1
{'Sam Wyse '},{'inchhighpi'},1
{'Maree Arianna'},{'Sharon Thompson Martin'},1
{'ScorpionInPink '},{'Teri Carson '},1
{'Chivonne McColl'},{'inchhighpi'},1
{'justin'},{'inchhighpi'},1
{'Alex Kohnstamm'},"{'Dahlia', 'seedoftruth '}",2
{'Vintage Sanwin'},{'HumanPhoenix'},1
{' '},{'Em '},1
{'ayca gurelman'},{'Jamile Araujo Martinski'},1
{'Eve Barlow'},{'joann hess'},1
{'Red Rabbit'},{'Vaielena'},1
{'Lois Walchelin Red '},{'Kerri McCoy'},1
{'Chelsea Lowe'},{'Tilda B '},1
{'picassoc'},{'inchhighpi'},1
{'no'},{' '},1
{'Sam Hunty '},{'HoneyHani'},1
{'No Facts Just Opinions'},{'Horae of Peace'},1
{'Gemsy'},{'Kountry Waldmignon '},1
{'Violetsvision justiceforjohnnydepp'},"{'teytanus', ' '}",2
{'joseph harkins'},"{'Linda Lou ', ' Not A Bot ', 'Ghost'}",3
{'Joshua with a J '},{'VashtiV mainlines avocados sings like a cat'},1
{'Sarah '},"{'Vaielena', 'Kris ', 'Libby JusticeForJohnnyDepp'}",3
{'Alex Philpott'},{'inchhighpi'},1
{'Raymond Clifford'},{'lenni Wald Mignon'},1
{'UptownNance LFG '},{'Detective'},1
{'Brianna '},{'Rae'},1
{'Rachael'},{'Libby JusticeForJohnnyDepp'},1
{'Khaira Nissa'},{'carpe'},1
{'Elaina'},{'Teri Carson '},1
{'sara saberi'},"{' is off ', 'Spirit of Dani '}",2
{'Leah'},{'java noob'},1
{'Satoru Gojo s Wife '},{'loryKapp'},1
{'Peglyn'},{'Teri Carson '},1
{'ToastdRyBread'},"{'JibberJab', 'JusticeForJohnny'}",2
{'Jessy Depp '},{'JibberJab'},1
{'Taylor L Roebuck'},"{'Kudzaishe Chitapi ', 'Luxdarlz'}",2
{'Deyan Rip '},"{'Jeni Wald Mignon ', 'Jasmin Wald Mignon', 'Odette', 'Mya', 'RideOrDis', 'Pamela McCafferty', 'Ida Almqvist', 'Princess Consuela Bananahammock'}",8
{'Sarah Brittany Rosenthal'},{'Odette'},1
{'Ramisa F she her '},{'LL'},1
{'N M A I'},{'Nana La'},1
{'simply dawn '},"{' is off ', 'Ewinters Wald Mignon', 'Nor33 '}",3
{'Olga Kruglova not a bot '},{'Teri Carson '},1
{'CIoJ'},{'Taru'},1
{'Kate '},{''},1
{'Jasmin Wald Mignon'},{'Lisa Salustri'},1
{'Furiosa'},{'James Shala'},1
{'The joker once known as Bahia do Sul Ronin 09'},"{' ', ' ammar ', 'fay '}",3
{'Stace'},"{'joby', 'Vaielena', 'Eskarina'}",3
{'felipe'},{'Del a '},1
{'Angy'},{'Sally Star'},1
{'Stephanie Nichols'},{'Ghost'},1
{'En See Kay'},{'Serpens1984'},1
{'nanni '},"{'j c d ll', 'JusticeForJohnny'}",2
{'Bobby Jo Reid Tuita'},"{'Paula ', 'HumanPhoenix', 'Diane S Loftis', 'Princess Consuela Bananahammock'}",4
{'Mommy A '},"{'Cassie Roehr', 'Odette', 'Mya', 'JusticeForJohnny'}",4
{' EL Hawkins Strawberry Festival or Bust'},{'TheMadRatter Gwennafran '},1
{'Marcus D Woolcott'},{' '},1
{'Tha s Laguna '},{'Rebecca Mew JusticeForJohnnyDepp Justice4JenHowell'},1
{'barbra'},{'Belinda '},1
{'Niki '},{' '},1
{'NavajoGhost'},{' '},1
{'Isaac Sanchez'},{'nancy '},1
{' The Alice '},{' '},1
{'Chel C '},{'Emp rElla lovesscience'},1
