__label__1 , How pathetic! This truly shows how big of a low life you really are! 
__label__1 , "Ladies and gentlemen, another person who is very real and tired of all the bs AH is pulling"
__label__1 , Why did she think she was entitled to tack her name on to Musky’s donation & think she could get away with not donating any of her own money? 
__label__1 , "The trouble with telling so many lies is you have to remember them. How can you think you will not be exposed? What’s that word? Oh yes, EVIDENCE"
__label__1 , Amber Heard STOLE! MONEY! FROM Children's Hospital!!!! 
__label__1 , Mountain Dew done fucked up!
__label__1 , "I'll never understand how you could have the love of someone as incredible as Johnny Depp, but all you want is his money and to destroy him. "
__label__1 , She has proven time and time again that she lies as easily as breathing.
__label__1 , "A liar, an abuser, a narcissist, someone keeping money from sick children, a gold digger...that's the things Amber Heard is. What she ISN'T is a victim of DV!"
__label__1 , Amber Heard should try getting a job so she can donate her own money instead of trying to scam Johnny and then Elon out of millions! Maybe she could be a waitress bc her acting is horrendous/cringe-worthy! 
__label__1 , Meaning- She's been lying these past 4 years about donating $7 million so she wouldn't look like a money-hungry loser........ well, she is "
__label__1 , In this crazy mess of a world we can all be certain about one thing 
__label__1 , "She keeps saying that Johnny was the drinker and drug user, I think She should take a good hard look in the mirror."
__label__1 , Evidence PROVES AH a liar.
__label__1 , It has been proven Amber Heard has pocketed $7M divorce settlement instead of donating it to sick and dying children that she told under oath’ that she did
__label__1 , Wonder if she looks this smug, now?
__label__1 , Pigs in space !! Feat. Amber and Space Simp Boy. Will they get to the 
__label__1 , DID YOU GUYS EVER GET THAT MONEY OR...?
__label__1 , The truth is out there! 
__label__1 , Is anyone surprised?
__label__1 , "Amber Heard hasn’t donated one single cent of the entire $7,000,000 divorce settlement she has had since 2016 and has told the world over and over again she donated."
__label__1 , 100% she brought this shame onto herself. shame shame on you
__label__1 , She admitted it because SHE F#CKING **LIED** and the truth came out. 
__label__1 , "No darling she was sued in 2019, she received the last of the settlement in 2018. Her inability to fulfil her pledge is because she lied and kept the money for herself. "
__label__1 , "Mr Rottenborn, reality is holding on line 2..."
__label__1 , So it looks like Amber Heard lied about donating her divorce settlement. I'm sure 3 years would have been enough to donate the promised 3.5m if she really wanted to do that 
__label__1 , "Maybe now the world can see what we’ve been tweeting about: if a woman can lie about giving $ to sick kids, she can lie about "
__label__1 , I hope Warner Bros are squirming right now.
__label__1 , When asked by the ACLU executive director Romero, Ms Heard claims $500,000 in space nickels are part of her $3.5 million pledge."
__label__1 , "Our leaders have to be held accountable. We the people are the only ones who can do that.
__label__1 , Tune in to this special episode of At Liberty as our experts discussed the violence that took place this week in Washington, DC."
__label__1 , Now!!! Amber is denying she lied about donating!!!
__label__1 , for years we have seen & heard her lie.
__label__1 , By now, that woman has zero credibility."
__label__1 , I love that Musk is such a braggity arse. It made following the money trail that much easier for Team Depp 
__label__1 , Imagine faking a $7M donation to a Children’s hospital and other charities for kudos whilst actually pocketing the cash. 
__label__1 , How the article to reveal AH didn't donate to charity should have been written.
__label__1 , BREAKING NEWS: Amber Heard has admitted to failing to donate the $7 million she promised to charities.
__label__1 , "Not some, they have ALL EVIDENCE "
__label__1 , Seeing the proof that Amber Heard didn't donate her divorce settlement 
__label__1 , GOLD DIGGER! 
__label__1 , "When I make a charitable donation, mistakes like this happen to me all the time "
__label__1 , When it is donated in someone’s name or on behalf of it means someone else donated the money! You are correct. She is a total fucking liar! She kept that money!! 
__label__1 , Amber Heard is still doing commercials for 
__label__1 , "Nice profile on Amber Heard’s barrister Jennifer Robinson of Doughty Street Chambers in FT today claiming she “cannot talk about Heard’s case for legal reasons.”
__label__1 , But secretly, here she is in 2019 personally spinning an American Tabloid following a UK court hearing. 
__label__1 , "Of course she gives us all a headache, anyway not a lot she donated nothing"
__label__1 , "There's embarrassing, then there's stanning someone who blatantly lied about donating to a children's hospital embarrassing. Talk about next level "
__label__1 , They will eat those words 
__label__1 , At a hearing on 8th Jan 2021 shows Adam's stirred up a hornet's nest with his tweeting FACTS and supporting docs.  The hypocrisy is shown by AH lawyers acting like PR agents. 
__label__1 , Good night to all you lovely people !! Kaffe needs her sleep to be ready for the twillight zone again tomorrow. And so I dont look like this tomorrow morning 
__label__1 , "Good! She's gonna get into serious trouble, now, is she? "
__label__1 , Right?!? Like even a small amount? She gave ZERO. Zilch. Nada. Nothing. 
__label__1 , Amber Heard’s lawyer accuses Johnny Depp of ‘planting’ story in ‘desperate attempt’ to smear name
__label__1 , Look out! Adam Waldman SPEWS FACTS! 
__label__1 , Johnny donated that 100k-not turd 
__label__1 , Will you fire her now???
__label__1 , A great lawyer who you'd be lucky to have walking alongside you in times of injustice & distress 
__label__1 , The bias is astounding. They're really capping for Scambuser. 
__label__1 , Amber Heard pocked $7M settlement 
__label__1 , BREAKING NEWS: It seems as though Johnny Depp's legal team has got some evidence that Amber Heard lied in court.
__label__1 , "Really?? Few things to point out here, firstly nobody saw it coming because it didn't happen, secondly the powerful people seem to be on her side and thirdly ""f**k you"" straight back you lying thief!!"
__label__1 , Funny how they failed to mention in UK that Amber hadn't donated the $7 million yet. It almost seems like they have something to hide 
__label__1 , The very inexperienced judge - who surmised she was not a gold digger based on her donating 7mil - 
__label__1 , "Media. Stop saying Johnny is ""claiming"" she didn't donate or that she ""allegedly"" didn't donate."
__label__1 , Its only going downhill from now for Amber !!! Clinging on to the red hair no matter what. Doing whatever role she can get 
__label__1 , EXCLUSIVE: Johnny Depp has accused Amber Heard of pocketing $7M divorce settlement and repeatedly 'lying' about giving it all to charity
__label__1 , "My heart just breaks for this man. You can hear the hurt, the betrayal, and the realization that he truly is the victim of a malicious and narcissistic abuser. "
__label__1 , So they’re basically admitting she didn’t donate cuz amber had legal bills to pay? 
__label__1 , You can't hide the truth forever. Proof that 
__label__1 , So Amber is blaming Johnny's lawsuit(s) for her not being able to donate her divorce settlement? Timelines just don't match up. She'd gotten the full bag months before The Sun article was even PUBLISHED. 
__label__1 , "So Ben Chew should def emphasize the ""stealing donation money from battered women and sick kids"" The jury will surely see her as a monster after that."
__label__1 , "Amber has said in past tense ""I donated the 7 million in full"" back in 2018 & now her lawyers are claiming she will ""eventually"" donate it? HOW CAN YOU DEFEND HER??? "
__label__1 , When are you gonna speak up about all this? Shame on you for protecting a self confessed abuser 
__label__1 , Yes she did! 
__label__1 , Amber Heard donates “Not Even A Penny”!!! 
__label__1 , "Now she has the nerve to say it's Johnny's fault for suing her a year after she received all that money, she's adding insult to injury. She held onto that money for 13 months and didn't donate a dime, don't tell me she wasn't spending that money."
__label__1 , "Amber Heard falsely promised to donate $7m from settlement, says Johnny Depp"
__label__1 , "Iit's better to submit a receipt than to make excuses or denials. But She can't!"
__label__1 , I will never forget she lied about it. Read this and tell me you feel NOT sick after reading it. 
__label__1 , Lied about donating the money for YEARS!!! and she's only revealing now she didn't. 
__label__1 , "This add paid for by the Elon Musk,  lies lies lies,  supporting "
__label__1 , Right?! Come on be REAL journalists and report the TRUTH!! 
__label__1 , "This is completely unfair, "
__label__1 , "AH Lawyer does PR work for AH lying about charity donations . AH must then be a GOLD DIGGER according to UK judge . Adam is releasing FACTS and docs, not LIES! "
__label__1 , Amber Heard is STILL yet to give the bulk of her £5million divorce settlement to charity
__label__1 , He is the victim! She can’t let go. It is to late to fix her lies. 
__label__1 , I believe she got it tax free - is that because she had pledged it? Was it ever declared? Important questions for the IRS I would expect! 
__label__1 , "According to documents obtained by the Daily Mail, Heard has only verifiably donated just $100,000 to the Children’s Hospital Los Angeles, one of two charitable organizations, alongside the American Civil Liberties Union, that Amber had vowed to donate her settlement to. Notably,"
__label__1 , Amber Heard will lie about everything. Anytime. Anywhere. For any reason that benefits her and her alone. 
__label__1 , "Love how people are on Johnny´s side. She can bribe media all she wants, but people know who´s side they prefer to be on. "
__label__1 , Imagine defending someone who lied about donating millions to a children's hospital. 
__label__1 , Imagine keeping THIS as your pinned tweet in the midst of Amber Heard getting rightfully dragged for being a confirmed abuser AND liar 
__label__1 , Narcissism can be very dangerous and cause major damage if we allow it. 
__label__1 , "Oh, Elaine, did you just admit that your client lied under oath? That's very kind of you, thank you. Can you tell our what else she lied about? "
__label__1 , Wheres the money Scamber?? See you in Hell. There's a special place there for you.  
__label__1 , "Now, it's official : Amber Heard is a gold digger. Court documents prove she is a liar. Who's Laughing Now?"
__label__1 , At a hearing on 8th Jan 2021 Adam is called out for tweeting FACTS and acting like a PR agent. Kinda like Robbie Kaplan for example. 
__label__1 , "Amber Heard has been lying about donations for 4 years. She lied to prove she was a public figure representing domestic abuse, and gained honor as the heroine of the metoo movement. Who believes this scammer now?"
__label__1 , "She lied, nothing to debate here. People need an episode in Sesame Street to understand? "
__label__1 , One of the weirdest niche things on Twitter is how often pro-Johnny Depp factions manage to get trending topics going
__label__1 , We want to know if there is a chance to see her in jail?
__label__1 , Amber Heard Responds to Claim She Failed to Donate $7 Million Johnny Depp Divorce Settlement
__label__1 , Don't say it's none of our business what she did with the money when she purposefully lied to us to make us believe she wasn't a gold digger. She started this not us.
__label__1 , Im feeling GD beautiful today it must be the shame away night creme i used !? 
__label__1 , keep digging that hole AH you only make yourself look stupid
__label__1 , "Amber Heard's lawyer really saying she didn't donate the money because ""Depp sued her and he forced her to spend that money""? 
__label__1 , He sued her in 2019. 
__label__1 , She said she'd donated the entire settlement back in 2016. She's been saying it for four years. 
__label__1 , She lied. 
__label__1 , "Fyi, Elaine, '7 figures' does NOT equal $7M. Also, your client received FULL settlement BEFORE JD sued her. So, if you're going to come up with an excuse, at least make it believable. "
__label__1 , Pigs in space Amber and Space simp boy !!! 
__label__1 , So her own lawyer has just confirmed that this is true?
__label__1 , "Even after the CHLA wrote and asked about her pledge, nothing. AH had money at least a YEAR before JD sued. "
__label__1 , Maintained the lifestyle she was used to while with Johnny is my guess.
__label__1 , It is heartbreaking and then I realised he had shattered his illusion of her. He would not take her back or give in.
__label__1 , "This is so heartbreaking. Imagine you think you will receive 3,5 mln for a children’s hospital, but instead you have to find out slowly over time that you will not get it. It is sickening an deeply humiliating too. "
__label__1 , "Unless your mattress is super lumpy, where’ve you squirrelled the money Amber?"
__label__1 , "What pisses me is him asking if johnnys $100k is part of it...we know it was! Shes using both men for gain!! "
__label__1 , Just a reminder that the press are just as scummy as 
__label__1 , "When you wonder how vile a person can be, just think about Amber Heard who stole money from sick children. "
__label__1 , No sooner do we discover the answer to 7 million questions than millions of new ones present themselves. Thank you Mr Rottenborn.
__label__1 , By lying her credibility is gone not to mention committing perjury in the process. 
__label__1 , She’ll donate it “eventually” SO SHE LIED
__label__1 , SpaceNickels - Brand new shitty movie feat. Amber Turd and Space Boy Simp !! No he is not break dancing this time 
__label__1 , PROOF AMBER HEARD DID NOT DONATE MONEY TO CHARITY 
__label__1 , "Put it in simpler words, mate: she lied for clout to make herself as the noble ""victim"". She lied."
__label__1 , Johnny Depp 'claims Amber Heard kept $7m divorce settlement' that she promised to give to charity
__label__1 , Amber Heard STOLE! MONEY! FROM Children's Hospital
__label__1 , "He doesn’t say it, his lawyers, the hospital and HER lawyer says she hasn’t donate it ALL while in February 2020 under oath, she said she had donated her $7 million settlement “in its entirety
__label__1 , Yes! Its heartbreaking.
__label__1 , "“Amber’s publicist told me that [ACLU & CHLA] were more prominent charities with a more significant press reach and got international press” — Jennifer Howell, Founder, Art of Elysium
__label__1 , The proof is astounding; Amber simply wanted the attention without actual altruism."
__label__1 , She withheld money from sick children. That says enough 
__label__1 , Are you mad that 
__label__1 , "More like, Children's Hospital of LA confirms "
__label__1 , "Absurd and false ah yes...in other words, true and a fact! You've been caught LYING!"
__label__1 , Imagine valuing your career at $100m and still needing to rip off sick children for 3.5% of that. 
__label__1 , LYING 
__label__1 , this is how much of an evil monst er this bitch is! Tormenting & hurting Johnny Depp daily! Let’s get Johnny the justice he deserves and get this vile cow locked up!
__label__1 , domestic violence against men is just as serious as domestic violence against women, and just as heartbreaking when the perp gets away with it.
__label__1 , To think this is the first time we’re seeing a women make this speech.....  breathless at this moment, even more so that it is the FIRST. Couldn’t be happier than it’s you,
__label__1 , Here is the lie 
__label__1 , You clearly don't know anything about what's going on.
__label__1 , Truth is a bit** 
__label__1 , Dude this article is so true. CHLA were subpoenaed and sent everything to Depps team. Further a reporter contacted CHLA directly to confirm she did not donate what she had pledged. 
__label__1 , """The real hero is always a hero by mistake."" ~ Umberto Eco"
__label__1 , "Laura Divenere, why are you afraid of Amber Heard?"
__label__1 , "Wait so... Amber Heard lied about donating (to charities) millions of dollars she got from Johnny Depp settlement like how she lied about TOTALLY NOT cheating, punching his face, slicing his finger, and shitting on his bed?
__label__1 , Wow I’m absolutely shocked "
__label__1 , ".....which, by following simple mathematical logic, means that in order to have contributed seven figures, at her stated rate of 500$ a month......the bitch is 175 years old "
__label__1 , guys I have not seen enough being said about johnny so I'll continue. 
__label__1 , """amber heard and johnny depp we're both toxic to each oth-"""
__label__1 , "Amber Heard steals from children with cancer
__label__1 , Johnny Depp tries to make them smile and holds them "
__label__1 , "I just reported Amber to the Attorney General's Office. Who knows if they'll do anything, but it's worth a try."
__label__1 , "Surprise surprise, "
__label__1 , I don't think I've ever admired 
__label__1 , Liars and Grifters.  What a sad world they live in.
__label__1 , It’s infuriating! 
__label__1 , "She said: ""I am financially independent, I don't want anything."" But the testimony of the former interior designer mentioned that when she moved, she moved Johnny's valuable furniture. So, she stole Johnny's bed? (I don’t know if she bought the bedding herself)"
__label__1 , Wow Elon musk concerned about users privacy while himself fucked up Depp's personal life by scheming wid Amber. Isn't it too hypocritic lol 
__label__1 , "oh, i forgot Amber heard said that she often cleans the puppies' feces by herself, but her good friend io said that amber heard suffers from feces phobia. So, who is lying again?"
__label__1 , "I don't agree with cancel culture whatsoever, but I think I can make an exception for Amber Heard..."
__label__1 , Johnny Depp is a courageous person.
__label__1 , The universe is bringing justice to who’s been wronged! It’s uncovering the nasty privileged who believe they can do what they like. Working on a nasty ego karma will pay back 10 times over! 
__label__1 , "That feeling when you see that, among all the political chaos of the past two days, the hashtag "
__label__1 , What I also hear is JD seeing his illusion shatter to discover the real AH.
__label__1 , 32,"They ""tried"" to destroy JD.  They think this is a game.   "
__label__1 , HER LAWYERS STRAIGHT UP ADMITED SHE NEVER PAID AND THEN DECIDED TO BLAME IT ON JOHNNY OF FUCKING COURSE THIS IS TOO FUNNY 
__label__1 , "Do not throw Amber heard to the streets, Iittering is illegal."
__label__1 , Elon Musk has $7 milli less than he should. 
__label__1 , "When a lie is exposed normally you start questioning  that person's credibility.. And oh trust me on this, there's definitely a rat in the basement "
__label__1 , "She fucking LIED! About this, about the abuse ... and yet here you are simping for her, what why, because she has a vagina?"
__label__1 , Hoaxers can't keep it straight.
__label__1 , Amber Heard is that you ? Whelp? 
__label__1 , How far are you willing to go for Amber Heard?
__label__1 , """Over the years, I have seen firsthand how more funding for staffing, better equipment and better medication can make the difference between life or death for a child.""
__label__1 , Judge Nichols suddently learning people can lie in their witness statements.
__label__1 , "amber heard literally lied under oath about donating money to sick children in a hospital, abused several people and y’all have the audacity to say this ? disgusting "
__label__1 , "But not active in twitter, i recently joined twitter, because, i want to help in a very simple way..and also to let people know, that we are not bots. "
__label__1 , "It's not an accusation, it's a confirmation that "
__label__1 , Very clear and concise vid about the charity donations importance to both the UK and US trials. 
__label__1 , What a load of shit. She said under OATH that she had donated all of her settlement to charity. Add in the hours of audio tapes where she admits being violent towards Johnny Depp... this woman is a narcissist who deserves to be tried for PERJURY and DV.  
__label__1 , "No such thing as “desperate attempt”
__label__1 , The truth will out."
__label__1 , "The loss of Amber Heard not donating 3.5 mil to CHLA. Last year, CHLA expanded to 100 resident ped patients. How many more could they have taken? $15k to real-time health access to at risk kids + families. 3m in sub care: how much more could they have treated? "
__label__1 , "Feminism. The fight for equality. The goal is not achieved through psychological or emotional abuse, by beating men nor shitting in their beds. "
__label__1 , "Amber Heard said in the UK high court that she had donated the ENTIRE divorce settlement.
__label__1 , Amber Heard's lawyer has confirmed Amber did not donate her divorce settlement to charity
__label__1 , Ambers claim UNDER OATH cost Johnny Depp to lose The Sun libel case"
__label__1 , "This! But it has gone this far. Too far. 
__label__1 , Why are you supporting someone who would lie under oath and steal money from a children’s hospital?! "
__label__1 , Yep it’s exactly like that! Well said!! Her life’s work 
__label__1 , "Mr Rottenborn, reality is holding on line 2..."
__label__1 , “You don’t exist! You are a made up thing in my head” 
__label__1 , "Amber Heard has been lying about donating to the Children's Hospital. She kept the money! The only amount they received was the initial amount from Johnny Depp in 2016!! If she will lie about donating money to sick children, what else will she lie about. "
__label__1 , Nobody believes you 
__label__1 , More fact spewing from Adam about the donations.
__label__1 , "Amber's trail of victims makes me so sad. Imagine how excited Children's Hospital got about this, only to have to beg for whatever crumbs Amber or Elon deigned to give. Disgusting. "
__label__1 , When asked by the ACLU executive director Romero, Ms Heard claims $500,000 in space nickels are part of her $3.5 million pledge."
__label__1 , She claimed in Australian court she didn’t know about the quarantine. Shown in Uk court she lied. Claimed she donated divorce settlement. In UK court shown she lied. See the pattern.
__label__1 , Hmmm.... Trouble in paradise.
__label__1 , Johnny Depp spoke up about being abused and got punished for it!!! It will never be ok 
__label__1 , "Scamber cannot stop the justice wheel anymore, as she exposed herself as true warrior of untruth and fake declarations. She has so many years to live in shame , sign! "
__label__1 , Shameful that the allegation of ‘planting a story’ is somehow more newsworthy than actually lying under oath about donating money to terminally ill children.
__label__1 , "Listen, I hate that Amber Heard lied too. No one WANTS to hear that someone lied abut donating money, or lied that they were abused.
__label__1 , We just knew it all along, and we're calling for justice.
__label__1 , Johnny Depp had to go through years of media torture with Amber Heard’s lies. Give the man some peace finally and lock that hoe up. 
__label__1 , "She's an awful actress, we have proof she's an even worse human being, yet she's still out there in Hollywood while the media keeps smearing Johnny Depp. Amber Heard has very powerful people protecting her. Never forget that."
__label__1 , Just a matter of time before they turn on each other.  A lie is like acid. It eats away everything. 
__label__1 , "Imagine knowing how you were getting hit, when you apparently couldn't see, but not know how you hit somebody else. Food for thought. "
__label__1 , Where is the lie? RIGHT HERE
__label__1 , Amber Heard and Elon Musk enjoy a dinner together after UK trial."
__label__1 , "Johnny Depp Making “Desperate Attempt” To Malign Amber Heard, ‘Aquaman’ Star’s Lawyer Says; Admits Promised $7M Charitable Donations “Delayed”"
__label__1 , Nope not surprised at all 
__label__1 , Why are you lying? He began paying in 2016 according to these court docs. Johnny Depp didn't sue Amber until March 2019. That's 13 months after the last payment. Stop blaming others for her lies. She lied about donating & has been caught. She lied to you. 
__label__1 , remember back in '16 when the settlement was finalized & the initial installment was given DIRECT to aclu & chla via depp UNDER AMBER HEARD'S NAME, but she STILL pitched a fucking fit??? 
__label__1 , "The first $100 000 donated in her name. ""Notably the scan of the check shows that this donation was made in the name of Amber Heard from the account of John Depp, rather than the account of the actress herself!"" "
__label__1 , "As a mature woman with a firm grasp on what's right and what's wrong I would like to say the immortal words. LIAR LIAR PANTS ON FIRE that is all. "
__label__1 , Because cheek implants and Botox, dying kids.  
__label__1 , "To think this is the first time we’re seeing a women make this speech.....  breathless at this moment, even more so that it is the FIRST. Couldn’t be happier than it’s you 
__label__1 , "AMBER HEARD LITERALLY LIED ABOUT DONATING MONEY TO POORLY CHILDREN
__label__1 , AMBER HEARD PROMISED TO DONATE MONEY TO POORLY CHILDREN AND SHE BROKE THAT PROMISE.
__label__1 , AMBER HEARD LIED ABOUT BEING ABUSED BY HER HUSBAND
__label__1 , AMBER HEARD ABUSED HER HUSBAND."
__label__1 , Fuck Amber Heard 
__label__1 , "I genuinely do not believe The Sun, Murdoch,  Dan, or Justice Nicol believed Amber Heard, I think they knew the likely truth, it didn't suit their agenda so each one of the above was complicit in the further abuse of Depp. "
__label__1 , Maybe stop covering her lying a$$ ?? She is an admitted abuser and a fraud. Period. 
__label__1 , I've said before and I say it now. Everyone in Hollywood is afraid of the Johnny Depp vs Amber Heard case. They know the truth but they don't talk about it cuz they'll ruin their lives. This case is way bigger than we think 
__label__1 , "“Coyness is nice and coyness can stop you. From saying all the things in life you'd like to. So if there's something you'd like to try. If there's something you'd like to try. Ask me, I won't say no, how could I?”
__label__1 , Amber Heard’s lawyer accuses Johnny Depp of ‘planting’ story in ‘desperate attempt’ to smear name
__label__1 , "This Pinnochio can watch. The other Pinocchio don't watch."
__label__1 , "As a victim of sexual violence, this is a HUGE RED FLAG. Amber Heard claims she was the victim of sexual violence, yet took on a role where she would have to play a victim that endures r*pe. (A short thread) "
__label__1 , BREAKING NEWS: It seems as though Johnny Depp's legal team has got some evidence that Amber Heard lied in court.
__label__1 , 'Aquaman' vinyl to launch new line of DC soundtracks 
__label__1 , "“Her donation of the $7 million to charity is hardly the act one would expect of a gold-digger.” - Justice Nicols, UK trial
__label__1 , "Amber Heard is the devil in person, who lies about donating millions of $$ to sick children? The same person who would abuse her husband and then try to turn it all around on him. Johnny Depp has been innocent since the beginning. "
__label__1 , It seems Ms. Heard has troubles distinguishing between past and future tenses.
__label__1 , "Countless evidence showing her abusive behaviour, witnesses to testify Johnny Depp’s innocence, but people still don’t believe a woman can be an abuser just as much as a man can be? "
__label__1 , "So the UK Judge based Amber Heard's credibility on the fact that she had ""donated"" her entire divorce settlement and we just found out she actually lied and stole millions from sick children? F*** her for lying and F*** him for not asking for proof."
__label__1 , The world owes him an apology. "
__label__1 , Why freak out when Johnny attempted to donate the money directly to the charities for her? Of course this is all important to the ongoing case It gives her motive for accusing him of abusing her She got her payout and actually pocketed it 
__label__1 , THE WORLD IF AMBER HEARD WENT AWAY FOREVER 
__label__1 , She has lost all credibility if she lied about such a thing as donating to children & along with the other lies that have been caught. Then she lied about abuse also. You cannot cherry pick what is true or a lie. 
